,State,Percent Change: 1990 to 2000,Percent Change: 2000 to 2010,Percent Change: 2010 to 2017,Percent Change: 1990 to 2010,Percent Change: 1990 to 2017,Percent Change: 2000 to 2017,Region,Division
13,Illinois,60.56945914612631,15.094326049109974,4.1231712313315905,84.80633684493506,92.42621855940321,19.839862189661872,Midwest,East North Central
14,Indiana,97.88676362941982,61.251568078741684,16.770560093620436,219.09550937271254,272.6096135281075,88.29435920529234,Midwest,East North Central
22,Michigan,47.32676220409518,12.253504179805152,19.746421504490886,65.37945316874558,98.03597707326819,34.41955426871077,Midwest,East North Central
35,Ohio,30.65624843553238,38.45478205252904,12.462639542903853,80.89982400942725,103.44471700946963,55.70990246964887,Midwest,East North Central
49,Wisconsin,59.40418109866965,31.570933827438306,12.997018672524717,109.72956963150058,136.98816095831242,48.671232664605604,Midwest,East North Central
15,Iowa,110.28026595253486,53.12839655267059,19.537988342163935,221.99879951980793,284.91088743189584,83.04660481967395,Midwest,West North Central
16,Kansas,114.40961171228517,38.747912569117155,7.2830075638433245,197.488860598345,219.15499681731382,48.85293353620068,Midwest,West North Central
23,Minnesota,130.41870504870002,45.311618156897524,28.471556186143097,234.82514884243494,330.155079220446,86.68409716543233,Midwest,West North Central
25,Missouri,80.7850967919362,53.79838090954787,10.563910259442588,178.04455179175685,207.41692872430738,70.04550384930819,Midwest,West North Central
27,Nebraska,164.69253138520463,50.29609582250328,27.77104245039135,297.8225406057167,408.3020072345557,92.03488839465153,Midwest,West North Central
34,North Dakota,29.03706859821048,37.3534753178141,86.68189194062144,77.23689816787387,230.8691947166596,156.41406636948986,Midwest,West North Central
41,South Dakota,74.55697839865478,64.78695813264171,32.21063045237882,187.64713491139568,280.3000905445609,117.86587625046315,Midwest,West North Central
30,New Jersey,52.732436039354035,24.943931798307556,11.4107756720903,90.82991071890422,112.60508374628859,39.20100357170193,Northeast,Middle Atlantic
32,New York,35.63539737736166,11.103004989745699,5.6489278231725,50.695002316031534,59.20765422999228,17.379133550992165,Northeast,Middle Atlantic
38,Pennsylvania,37.63037615483759,45.402535161944634,20.931903424312793,100.1180560820544,142.0065743157621,75.83805339854533,Northeast,Middle Atlantic
6,Connecticut,32.42287469173142,31.665797219752033,8.853054688783057,74.35563366418143,89.79143326544565,43.32224225403887,Northeast,New England
19,Maine,1.0882741899933877,24.46103949197351,-0.5102264266631629,25.81551686136213,25.17357284549262,23.826006377585784,Northeast,New England
21,Massachusetts,34.72869784377053,27.242643111168036,17.57974061677736,71.43235616567289,101.56971971282812,49.61156972404308,Northeast,New England
29,New Hampshire,31.464083703541863,28.784577316541714,19.24951965816868,69.305464520671,101.89595319593137,53.574989843778845,Northeast,New England
39,Rhode Island,25.438541140837962,12.62439531510685,9.440577660326799,41.27439845196029,54.611517751977125,23.256788819302976,Northeast,New England
45,Vermont,32.49544003647971,18.563131856313188,1.8976777939042178,57.090743274053814,60.071819425444595,20.81307808130781,Northeast,New England
0,Alabama,101.62175820641812,92.08403591122453,0.2787729246245485,287.2832104380585,288.3628511703765,92.6195141958711,South,East South Central
17,Kentucky,135.2677393827486,75.13547856635647,20.274144099926737,312.0372812802251,395.5743134323984,110.64269786099588,South,East South Central
24,Mississippi,95.79060982191041,53.92402525809361,6.983785895682759,201.36878771525292,222.4157386057008,64.6737496241355,South,East South Central
42,Tennessee,168.9785837534256,81.7520313954366,20.33301844681359,388.8740399905268,488.27688872348347,118.70770546652913,South,East South Central
7,Delaware,101.56228956228956,60.069490845917414,37.04708632492903,222.63973063973066,342.1683501683502,119.37057329947879,South,South Atlantic
8,District of Columbia,24.9189124934196,11.110506926224494,24.623779577654336,38.7980369181653,72.97535958700563,38.470113239352365,South,South Atlantic
9,Florida,60.641548994617466,36.962881922759536,19.718138906513683,120.01929506838982,163.40300529110712,63.96941323065357,South,South Atlantic
10,Georgia,233.44096207386528,63.34715117457424,13.044999835623816,444.66631239675155,515.718031953606,84.65578677679363,South,South Atlantic
20,Maryland,65.33490274136028,55.05918215756827,15.458725013842312,156.36694801176418,195.9980095312829,79.0293547360196,South,South Atlantic
33,North Carolina,273.66285182964447,67.24116279069767,15.33490836933713,524.9180983167792,620.7487160770614,92.88744186046512,South,South Atlantic
40,South Carolina,132.1231286526299,88.39262618772526,11.808104570377221,337.3028580578016,388.9400368265151,110.6382244908517,South,South Atlantic
46,Virginia,82.89369453736101,59.7672367385087,16.600575775502424,192.2042019313105,240.71178189211983,86.28951793771118,South,South Atlantic
48,West Virginia,23.408859470468432,16.095925734914903,33.063835458220424,43.27265784114053,90.64409368635438,54.48169159360494,South,South Atlantic
3,Arkansas,196.33651023444727,78.67688967295426,6.388085093455453,429.48485945228623,463.30880283106126,90.09092142760211,South,West South Central
18,Louisiana,32.58091457205944,49.170298140397804,10.7233348373885,97.7713455444072,118.97902913954259,65.16632868792338,South,West South Central
36,Oklahoma,101.17424300264166,56.65024630541872,8.47990619336958,215.13994716669976,241.86351906427035,69.93404024380061,South,West South Central
43,Texas,90.21080583245214,42.846289300541244,17.192266306070625,171.70907798031533,218.42202624446023,67.40480376543034,South,West South Central
2,Arizona,135.86312251756797,30.552452593255236,7.965442653645605,207.92509120971948,232.45268776621555,40.95153333749884,West,Mountain
5,Colorado,159.70133535532247,34.3879341340838,10.795103650134275,249.00725950264686,286.68295491245067,48.89525091713234,West,Mountain
12,Idaho,121.69174883238195,35.92072409488139,16.122069393097437,201.3250302715793,249.90486075073517,57.83395755305867,West,Mountain
26,Montana,18.992670005080196,22.17004147353013,15.366182417253249,45.37339429566732,67.71173524929239,40.94291290558674,West,Mountain
28,Nevada,202.01186705841948,60.60304555059651,17.220891401059667,385.04025642004046,468.568512229557,88.26032161165914,West,Mountain
31,New Mexico,85.81364731599473,37.12083739956953,-4.695794599811842,154.78922920237474,142.82485033658742,30.681924521743788,West,Mountain
44,Utah,170.75767918088738,40.32042555337064,20.931287560973423,279.9283276450512,359.4522184300342,69.69129733272827,West,Mountain
50,Wyoming,46.52805021577089,41.39223560910308,29.52092406741147,107.17928599450765,168.3405256963515,83.13253012048192,West,Mountain
1,Alaska,49.79447086322237,32.68496099004574,17.980899856039258,98.75473523011203,134.49262513097446,56.542910949690615,West,Pacific
4,California,37.24253250397712,14.509668325200481,4.955307800291009,57.15596877140966,64.9435307505622,20.183974851806497,West,Pacific
11,Hawaii,30.438710787688073,16.955270014936698,6.990770024132509,52.55494640574294,63.21971186940702,25.131343972784116,West,Pacific
37,Oregon,107.95939902517462,29.69982947994836,8.775945260457284,169.72298592317688,193.39372752266576,41.082215518015055,West,Pacific
47,Washington,90.73985546836198,44.23499121989008,19.620721637619564,175.11361378762294,229.09289013608822,72.53493735118974,West,Pacific
