,Year,Total Foreign-Born Population
0,1960,9729147
1,1970,9778000
2,1980,14079460
3,1990,19682004
4,2000,31133481
5,2010,39916875
6,2017,44406371
1352,2018,45272325
1353,2019,45987642
1354,2020,46703291
1355,2021,47418829
1356,2022,48133493
1357,2023,48846880
1358,2024,49558592
1359,2025,50269609
1360,2026,50982523
1361,2027,51691209
1362,2028,52394717
1363,2029,53092129
1364,2030,53782535
1365,2031,54465109
1366,2032,55139093
1367,2033,55803898
1368,2034,56458964
1369,2035,57103730
1370,2036,57737697
1371,2037,58360373
1372,2038,58971293
1373,2039,59570068
1374,2040,60156347
1375,2041,60729891
1376,2042,61290494
1377,2043,61838016
1378,2044,62372426
1379,2045,62893753
1380,2046,63402169
1381,2047,63897742
1382,2048,64380713
1383,2049,64851321
1384,2050,65309790
1385,2051,65756417
1386,2052,66191649
1387,2053,66615960
1388,2054,67029895
1389,2055,67434036
1390,2056,67829128
1391,2057,68215883
1392,2058,68594991
1393,2059,68967083
1394,2060,69332673
