,State,Total Foreign-born Population,Total Unauthorized Population,Region,Division
0,Alabama,165504,63000.0,South,East South Central
1,Alaska,55247,11000.0,West,Pacific
2,Arizona,901548,226000.0,West,Mountain
3,Arkansas,139034,63000.0,South,West South Central
4,California,10437630,3059000.0,West,Pacific
5,Colorado,524444,162000.0,West,Mountain
6,Connecticut,503209,102000.0,Northeast,New England
7,Delaware,82550,22000.0,South,South Atlantic
8,District of Columbia,92513,27000.0,South,South Atlantic
9,Florida,3967671,656000.0,South,South Atlantic
10,Georgia,994629,351000.0,South,South Atlantic
11,Hawaii,253551,36000.0,West,Pacific
12,Idaho,97736,30000.0,West,Mountain
13,Illinois,1791568,487000.0,Midwest,East North Central
14,Indiana,324368,92000.0,Midwest,East North Central
15,Iowa,151167,38000.0,Midwest,West North Central
16,Kansas,200769,64000.0,Midwest,West North Central
17,Kentucky,154143,44000.0,South,East South Central
18,Louisiana,187580,63000.0,South,West South Central
19,Maine,47651,5000.0,Northeast,New England
20,Maryland,874332,247000.0,South,South Atlantic
21,Massachusetts,1061461,173000.0,Northeast,New England
22,Michigan,632482,129000.0,Midwest,East North Central
23,Minnesota,426691,83000.0,Midwest,West North Central
24,Mississippi,67330,25000.0,South,East South Central
25,Missouri,236079,54000.0,Midwest,West North Central
26,Montana,20912,3000.0,West,Mountain
27,Nebraska,126533,38000.0,Midwest,West North Central
28,Nevada,547696,129000.0,West,Mountain
29,New Hampshire,77063,9000.0,Northeast,New England
30,New Jersey,1943338,526000.0,Northeast,Middle Atlantic
31,New Mexico,201343,58000.0,West,Mountain
32,New York,4442247,940000.0,Northeast,Middle Atlantic
33,North Carolina,767656,321000.0,South,South Atlantic
34,Ohio,484708,107000.0,Midwest,East North Central
35,Oklahoma,225516,82000.0,South,West South Central
36,Oregon,390613,113000.0,West,Pacific
37,Pennsylvania,818363,141000.0,Northeast,Middle Atlantic
38,Rhode Island,142663,26000.0,Northeast,New England
39,South Carolina,230716,87000.0,South,South Atlantic
40,South Dakota,27195,6000.0,Midwest,West North Central
41,Tennessee,315319,121000.0,South,East South Central
42,Texas,4494345,1597000.0,South,West South Central
43,Utah,244784,79000.0,West,Mountain
44,Virginia,986495,269000.0,South,South Atlantic
45,Washington,957185,229000.0,West,Pacific
46,West Virginia,28908,6000.0,South,South Atlantic
47,Wisconsin,277238,86000.0,Midwest,East North Central
48,Wyoming,20712,6000.0,West,Mountain
